title,body,date,url,source,image,compound
"The company Holdings, Inc. (NASDAQ:AFRM) is largely controlled by ...","Yahoo Finance · Affirm Holdings, Inc. (NASDAQ:AFRM) is largely controlled by institutional shareholders who own 63% of the company.",2023-05-15,https://finance.yahoo.com/news/affirm-holdings-inc-nasdaq-afrm-100950953.html,Yahoo Finance,https://audiospace-1-u9912847.deta.app/getnewspic?id=VBHMJbc6UYkRwtgWVMnF1701422081.489424,0.192192596
"Midday Movers: Dell Technologies, The company, Moderna and More ...","Affirm Holdings Inc (NASDAQ:AFRM) shares fell 20% after the buy-now-pay-later fintech lowered its full year revenue outlook, also highlighting economic...",2022-08-26,https://www.investing.com/news/stock-market-news/midday-movers-dell-technologies-affirm-moderna-and-more-2881102,Investing.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=ivHz8UKcQ6hNMqrJXhzL1701422081.6127286,0.0
The rapid evolution of buy now/pay later loans,"The Sweden-based company laid off 10% of its workforce but also raised $800 ... Affirm, which was valued at more than $30 billion last year, now hovers...",2022-12-27,https://www.americanbanker.com/payments/list/the-rapid-evolution-of-buy-now-pay-later-loans,American Banker,https://audiospace-1-u9912847.deta.app/getnewspic?id=BbyjlgvPdzdcuXLL9pzf1701422081.659577,0.28401250850000004
The company stock rockets more than 90% after IPO,Affirm Holdings Inc. shares have nearly doubled in midday trading Wednesday after the financial-technology company made its public debut. Shares of Affirm...,2021-01-13,https://www.marketwatch.com/story/affirm-stock-rockets-after-ipo-11610558856,MarketWatch,https://audiospace-1-u9912847.deta.app/getnewspic?id=6xVpxGURGREYuBqhbXJI1701422081.726215,0.0
"The company spinout Resolve raises $25M in Insight Partners-led round to grow B2B buy now, pay later offering","The investment comes just months after the company secured a combined $60 million asset and equity financing (the majority of which was asset, or debt). Insight...",2021-12-09,https://techcrunch.com/2021/12/09/affirm-spinout-resolve-raises-25m-in-insight-partners-led-round-to-grow-b2b-buy-now-pay-later-offering/,TechCrunch,https://audiospace-1-u9912847.deta.app/getnewspic?id=RHi7sWC8di4187iQ8UxQ1701422081.795715,0.22294392249999997
Shopify Rolls Out The company's Installment Payment Service to All U.S. Merchants,"The consumer payments company Affirm Holdings on Thursday said that it is rolling out its “buy now, pay later” installment payment service as an option to...",2021-06-10,https://www.barrons.com/articles/shopify-affirm-installment-payment-service-51623326082,Barron's,https://audiospace-1-u9912847.deta.app/getnewspic?id=qLLH3D17N8E5QgPLrnqI1701422081.2019734,-0.033583504
Max Levchin's The company boosts IPO price range as it looks to raise ...,"Jan 11 (Reuters) - Lending startup Affirm Holdings Inc, founded by PayPal Holdings Inc PYPL.O co-founder Max Levchin, said on Monday it aims to raise as...",2021-01-11,https://www.nasdaq.com/articles/max-levchins-affirm-boosts-ipo-price-range-as-it-looks-to-raise-$1.08-bln-2021-01-11,Nasdaq,https://audiospace-1-u9912847.deta.app/getnewspic?id=x1rFmSJKw0YcZsrrv5491701422081.4675722,0.28133194
"Why Block, The company, and Upstart Holdings Were Plunging Today","His clients may own shares of the companies mentioned. The Motley Fool has positions in and recommends Affirm Holdings, Inc., Bitcoin, Block, Inc., and Upstart...",2022-11-21,https://www.fool.com/investing/2022/11/21/why-block-affirm-and-upstart-holdings-were-plungin/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=S3IuXR6QrhO4j4e5BpTa1701422082.0059013,0.016140408499999995
Lending company The company takes on bricks and mortar shopping,"Clover's point-of-sale product, a modern day cash register, lets merchants easily turn on Affirm's service with a few taps on the tablet-like device. Customers...",2015-10-27,https://fortune.com/2015/10/27/affirm-expansion-levchin-loans/,Fortune,https://audiospace-1-u9912847.deta.app/getnewspic?id=t1HQuexqk7gxi2o37Ux11701422082.1805775,0.136198859
The company doubles user base amid inflation,"Buy now, pay later company Affirm has nearly doubled its user base as inflation has more users flocking to modern-day financing services.",2022-08-26,https://www.modernretail.co/technology/affirm-doubles-user-base-amid-inflation/,Modern Retail,https://audiospace-1-u9912847.deta.app/getnewspic?id=1G5PHCuZ2moBPdLhxrF01701422082.266663,-0.25849311350000004
The company FILMS AND PROVIDENT FILMS ANNOUNCE ...,"13, 2023 /PRNewswire/ -- Continuing the 17 year partnership between The Kendrick Brothers and AFFIRM Films, a Sony Pictures Entertainment (SPE) company and...",2023-02-13,https://www.prnewswire.com/news-releases/affirm-films-and-provident-films-announce-production-of-the-next-kendrick-brothers-film-301745794.html,PR Newswire,https://audiospace-1-u9912847.deta.app/getnewspic?id=dcDFQokTR7qUIWa0E3nz1701422082.330022,0.0
Shopify will be a major winner in The company’s IPO,"But in this case, Shopify didn't use its stock price or balance sheets—no, the company leveraged its massive network of merchants to ink out a deal with Affirm.",2020-11-19,https://fortune.com/2020/11/19/shopify-will-be-a-major-winner-in-affirms-ipo/,Fortune,https://audiospace-1-u9912847.deta.app/getnewspic?id=5A6cWTcgUbMNE2VW1NT31701422082.4024966,0.3790615456666666
